Match_ID,Round,Date,LogoHome,LogoAway,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,EGHT,EGAT,BPHT,BPAT,GAHT,GAAT,SoGHT,SoGAT,FKHT,FKAT,CKHT,CKAT,OHT,OAT,THT,TAT,GSHT,GSAT,FHT,FAT,RCHT,RCAT,YCHT,YCAT,TPHT,TPAT,AHT,AAT,DAHT,DAAT,CCHT,CCAT
jXP8f29S,ROUND 38,19.05.2024,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Arsenal,Everton,2,1,1,1,1.23,0.50,67,33,12,4,9,3,8,7,3,1,0,4,1,9,0,2,5,4,-,-,1,0,327,151,61,27,47,13,6,14
htCzjMHq,ROUND 38,19.05.2024,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Brentford,Newcastle,2,4,0,3,0.61,1.86,56,44,3,8,2,3,6,7,1,0,1,0,7,8,2,1,6,5,-,-,2,1,242,207,48,48,18,25,10,8
z51uktXk,ROUND 38,19.05.2024,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Brighton,Manchester Utd,0,2,0,0,1.04,0.17,58,42,10,3,8,1,4,5,4,1,0,0,15,11,2,2,6,4,-,-,0,2,336,240,50,27,25,6,2,10
nu5ql0nd,ROUND 38,19.05.2024,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,Burnley,Nottingham,1,2,0,2,0.72,0.95,71,29,10,5,10,3,3,5,3,0,0,1,3,5,0,0,5,3,-,-,-,-,358,129,84,19,45,9,7,19
0rgRCqPd,ROUND 38,19.05.2024,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,Chelsea,Bournemouth,2,1,1,0,0.46,0.82,65,35,8,10,6,7,5,2,3,1,0,1,12,15,3,1,2,5,-,-,1,2,308,150,40,44,22,29,7,8
vZiVB3v3,ROUND 38,19.05.2024,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Crystal Palace,Aston Villa,5,0,2,0,1.20,1.20,46,54,7,7,2,5,0,5,0,4,1,0,12,6,2,3,7,2,-,-,1,1,243,271,48,28,22,13,10,7
dAnzBNg9,ROUND 38,19.05.2024,https://static.flashscore.com/res/image/data/vwC9RGhl-Imx2oQd8.png,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Liverpool,Wolves,2,0,2,0,2.74,0.22,68,32,21,2,12,1,5,5,7,2,1,0,12,14,1,7,4,6,0,1,0,1,338,133,68,29,54,8,3,12
z1ovAs9F,ROUND 38,19.05.2024,https://static.flashscore.com/res/image/data/lIDbGiYg-dATKxRKP.png,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,Luton,Fulham,2,4,1,2,1.62,0.41,41,59,10,5,6,3,6,10,3,1,4,0,7,10,0,3,6,7,-,-,1,1,154,230,38,33,25,21,2,16
Sd97hFwr,ROUND 38,19.05.2024,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,https://static.flashscore.com/res/image/data/Qo3RdMjl-ARW4wdCc.png,Manchester City,West Ham,3,1,2,1,0.96,0.31,68,32,15,2,5,0,5,4,3,1,2,0,8,9,1,8,1,5,-,-,-,-,380,143,69,18,42,5,4,7
t0DBiZhl,ROUND 38,19.05.2024,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,https://static.flashscore.com/res/image/data/ARC62UAr-SOY3p1Si.png,Sheffield Utd,Tottenham,0,3,0,1,1.05,2.03,27,73,5,10,4,5,5,8,2,3,3,0,7,7,4,1,5,5,-,-,1,0,117,292,32,60,12,26,16,5
C43exrWn,ROUND 34,15.05.2024,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Manchester Utd,Newcastle,3,2,1,0,1.27,0.39,40,60,9,7,5,5,4,7,4,6,1,1,5,5,2,3,6,3,-,-,0,1,174,228,38,42,27,28,17,12
ro9WXSv1,ROUND 34,15.05.2024,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Brighton,Chelsea,1,2,0,1,0.22,1.07,46,54,5,8,4,4,10,7,2,5,1,1,8,4,3,1,7,10,-,-,1,0,207,263,39,31,15,23,7,8
I163zM0a,ROUND 34,14.05.2024,https://static.flashscore.com/res/image/data/ARC62UAr-SOY3p1Si.png,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Tottenham,Manchester City,0,2,0,0,0.26,0.40,55,45,3,3,2,2,6,7,4,2,1,2,14,12,1,1,6,4,-,-,1,0,335,280,36,48,22,25,4,6
GziuczET,ROUND 37,13.05.2024,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,https://static.flashscore.com/res/image/data/vwC9RGhl-Imx2oQd8.png,Aston Villa,Liverpool,3,3,1,2,1.53,1.33,42,58,8,6,7,4,13,2,2,1,1,3,5,10,0,0,1,10,-,-,0,1,224,306,39,49,26,22,7,7
ERUq06ui,ROUND 37,12.05.2024,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Manchester Utd,Arsenal,0,1,0,1,0.49,0.86,50,50,8,5,8,3,3,4,3,2,1,0,6,16,1,0,3,3,-,-,-,-,270,220,54,34,28,20,10,11
nuTibpA3,ROUND 37,11.05.2024,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Nottingham,Chelsea,2,3,1,1,0.61,0.63,29,71,10,5,7,3,7,6,2,4,2,1,16,5,1,2,4,5,-,-,0,2,127,323,33,55,18,14,11,8
2XnybGbN,ROUND 37,11.05.2024,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,Bournemouth,Brentford,1,2,0,0,0.38,0.33,41,59,6,5,4,3,4,9,0,6,1,0,5,8,2,2,8,4,-,-,1,0,176,223,36,52,28,33,16,6
YFw7hfMp,ROUND 37,11.05.2024,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,Everton,Sheffield Utd,1,0,1,0,1.70,0.07,60,40,7,3,2,2,7,5,2,2,2,0,15,12,1,4,3,7,-,-,1,1,228,153,49,32,35,19,9,11
hITmaQfc,ROUND 37,11.05.2024,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Newcastle,Brighton,1,1,1,1,1.54,1.10,59,41,10,10,6,7,7,7,6,3,2,0,3,13,2,3,4,7,-,-,0,1,270,187,62,28,32,10,4,12
0rXec4P9,ROUND 37,11.05.2024,https://static.flashscore.com/res/image/data/ARC62UAr-SOY3p1Si.png,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Tottenham,Burnley,2,1,1,1,0.55,0.56,59,41,8,4,5,1,8,4,3,2,0,2,6,10,2,2,5,6,-,-,0,1,293,199,54,33,28,14,9,6
